event_url,tag
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=13,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=13,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026E500_02&sesID=1,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261324_03&sesID=1,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261324_03&sesID=1,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261232_02&sesID=1,教師
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261232_02&sesID=1,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20262204_02&sesID=1,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20262204_02&sesID=1,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20262204_02&sesID=2,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261401_01&sesID=1,遠距參加
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261401_01&sesID=1,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261401_01&sesID=2,遠距參加
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261401_01&sesID=2,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261401_01&sesID=3,遠距參加
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261401_01&sesID=3,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261401_01&sesID=4,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261401_01&sesID=4,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261401_01&sesID=6,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261401_01&sesID=6,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_04&sesID=1,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_04&sesID=1,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_04&sesID=1,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_04&sesID=2,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_04&sesID=2,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_04&sesID=2,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_04&sesID=3,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_04&sesID=3,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_04&sesID=3,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_04&sesID=4,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_04&sesID=4,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_04&sesID=4,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_04&sesID=5,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_04&sesID=5,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_04&sesID=5,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_04&sesID=6,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_04&sesID=6,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_04&sesID=6,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261260_01&sesID=1,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261260_01&sesID=1,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261260_01&sesID=2,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261260_01&sesID=2,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261260_01&sesID=3,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261260_01&sesID=3,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265100_02&sesID=1,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_05&sesID=1,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261907_01&sesID=1,遠距參加
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261907_01&sesID=1,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261907_01&sesID=2,遠距參加
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261907_01&sesID=2,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261260_02&sesID=1,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261260_02&sesID=1,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261260_02&sesID=1,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261260_02&sesID=3,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261260_02&sesID=3,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261260_02&sesID=3,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261260_02&sesID=4,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261260_02&sesID=4,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261260_02&sesID=4,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261260_02&sesID=5,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261260_02&sesID=5,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261260_02&sesID=5,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261260_02&sesID=6,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261260_02&sesID=6,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261260_02&sesID=6,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261324_02&sesID=1,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261324_02&sesID=2,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265161_05&sesID=1,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265161_05&sesID=1,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265161_05&sesID=1,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265161_05&sesID=2,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265161_05&sesID=2,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265161_05&sesID=2,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265161_05&sesID=3,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265161_05&sesID=3,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265161_05&sesID=3,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265161_05&sesID=4,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265161_05&sesID=4,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265161_05&sesID=4,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265161_05&sesID=5,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265161_05&sesID=5,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265161_05&sesID=5,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265161_05&sesID=6,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265161_05&sesID=6,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265161_05&sesID=6,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=1,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=1,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=1,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=2,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=2,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=2,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=3,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=3,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=3,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=4,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=4,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=4,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=5,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=5,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=5,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=6,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=6,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=6,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=7,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=7,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=7,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=8,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=8,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026M100_01&sesID=8,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261911_01&sesID=1,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261911_01&sesID=1,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261911_01&sesID=5,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261911_01&sesID=5,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261911_01&sesID=6,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261911_01&sesID=6,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261911_01&sesID=7,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261911_01&sesID=7,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_04&sesID=1,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_04&sesID=1,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_04&sesID=2,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_04&sesID=2,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_04&sesID=3,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_04&sesID=3,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_04&sesID=4,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_04&sesID=4,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_04&sesID=5,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_04&sesID=5,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_04&sesID=6,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_04&sesID=6,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_04&sesID=7,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_04&sesID=7,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_04&sesID=8,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_04&sesID=8,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_04&sesID=9,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_04&sesID=9,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_04&sesID=10,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_04&sesID=10,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265102_01&sesID=1,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265102_01&sesID=1,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265102_01&sesID=2,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265102_01&sesID=2,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265102_01&sesID=3,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265102_01&sesID=3,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265102_01&sesID=4,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265102_01&sesID=4,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265102_01&sesID=5,學生
